isolate,year,country,source,lineage,accession
ZH-1776,1978,EGY,human,A,DQ380203
ZM-657,1978,EGY,mosquito,A,DQ380204
2250/74,1974,ZWE,cow,A,DQ380209
T1,1977,EGY,mosquito,A,DQ380201
ZH-501,1977,EGY,human,A,DQ380200
T-46 (228113),1977,EGY,mosquito,A,DQ380199
MgH824,1979,MDG,human,A,DQ380210
ZS-6365,1979,EGY,sheep,A,DQ380205
ZC-3349,1978,EGY,cow,A,DQ380207
ZH-548,1977,EGY,human,A,NC_014396
S35,1972,KEN,sheep,B,MG659813
200803168,2008,MDG,cow,C,JF311383
200803165,2008,MDG,human,C,JF311380
200803169,2008,MDG,cow,C,JF311384
200803170,2008,MDG,cow,C,JF311385
2007000234,2007,KEN,human,C,JF326191
2007000253,2006,KEN,mosquito,C,JF326192
2007000260,2006,KEN,mosquito,C,JF326193
200803167,1991,MDG,cow,C,JF311382
200803166,1991,MDG,human,C,JF311381
2007000324,2007,TZA,human,C,JF326195
200803164,2008,MDG,human,C,JF311379
200803163,2008,MDG,human,C,JF311378
200803162,2008,MDG,human,C,JF311377
2007002820,2007,KEN,buffalo,C,JF309200
TAN/Dod-002/07,2007,TZA,human,C,HM586971
TAN/Tan-001/07,2007,TZA,human,C,HM586970
KEN/Bar-035/07,2007,KEN,human,C,HM586969
KEN/Bar-032/07,2007,KEN,human,C,HM586968
KEN/Mal-032/07,2007,KEN,human,C,HM586967
KEN/Kil-006/07,2007,KEN,human,C,HM586966
2007000323,2007,TZA,human,C,JF326194
SPU152/08,2008,ZAF,human,C,KY126707
Kenya-128b-15,2006,KEN,mosquito,C,KX096939
Sudan 85-2010,2010,SDN,human,C,JQ820488
M37/08,2008,ZAF,buffalo,C,KX944840
M66/09,2009,ZAF,cow,C,KX944845
M80/08/2,2008,ZAF,cow,C,KX944846
M84/08,2008,ZAF,cow,C,KX944847
M85/08,2008,ZAF,cow,C,KX944848
DVS-372,2021,KEN,cow,C,OM744369
SPU77/08,2008,ZAF,buffalo,C,KY126704
J40/6,2008,ZAF,buffalo,C,KY126705
SPU142/08,2008,ZAF,cow,C,KY126706
VRL2051/76,1976,ZWE,human,C,MG659814
VRL1217/78,1978,ZWE,sheep,C,MG659815
VRL1290/78,1978,ZWE,cow,C,MG659816
201601287,2016,UGA,human,C,MG953418
201601292,2016,UGA,human,C,MG953419
SA01-1322,2001,SAU,mosquito,C,KX096942
KEN/Gar-008/06,2006,KEN,human,C,HM586965
Sudan 28-2010,2010,SDN,human,C,JQ820491
Sudan 2V-2007,2007,SDN,human,C,JQ820490
Sudan 86-2010,2010,SDN,human,C,JQ820489
201601502,2016,UGA,human,C,MG953420
KEN/Gar-004/06,2006,KEN,human,C,HM586964
2007000223,2007,KEN,cow,C,EU574053
2008/00099,2008,MYT,human,C,HE687303
2008/00101,2008,MYT,human,C,HE687306
2007003644,2007,KEN,sheep,C,EU574033
2007004193,2007,KEN,cow,C,EU574032
2007004194,2007,KEN,cow,C,EU574031
201707024,2017,UGA,human,C,MG972973
