isolate,year,country,source,lineage,accession
ZC-3349,1978,EGY,cow,A,DQ380207
ZM-657,1978,EGY,mosquito,A,DQ380204
ZH-1776,1978,EGY,human,A,DQ380203
MgH824,1979,MDG,human,A,DQ380210
2250/74,1974,ZWE,cow,A,DQ380209
T1,1977,EGY,mosquito,A,DQ380201
T-46 (228113),1977,EGY,mosquito,A,DQ380199
272659,2015,MRT,human,A,KY366326
ZS-6365,1979,EGY,sheep,A,DQ380205
ZH-548,1977,EGY,human,A,NC_014396
ZH-501,1977,EGY,human,A,DQ380200
S35,1972,KEN,sheep,B,MG659813
200803169,2008,MDG,cow,C,JF311384
200803164,2008,MDG,human,C,JF311379
2007000094,2007,KEN,cow,C,EU574055
DVS-372,2021,KEN,cow,C,OM744369
VRL2051/76,1976,ZWE,human,C,MG659814
2008/00101,2008,MYT,human,C,HE687306
DVS-230,2021,KEN,cow,C,OM744365
SPU52/99/1,1999,ZAF,buffalo,C,KY126714
Namibia_2011,2011,NAM,springbok,C,MT561463
201707025,2017,UGA,human,C,MG972979
KEN/Gar-Msq/131B-04/06,2006,KEN,mosquito,C,HM586972
2007000324,2007,TZA,human,C,JF326195
2007003081,2007,KEN,cow,C,EU574034
2007000234,2007,KEN,human,C,JF326191
201601502,2016,UGA,human,C,MG953420
200803165,2008,MDG,human,C,JF311380
2007002444,2007,KEN,cow,C,EU574038
200803167,1991,MDG,cow,C,JF311382
2007004193,2007,KEN,cow,C,EU574032
2007000260,2006,KEN,mosquito,C,JF326193
SPU152/08,2008,ZAF,human,C,KY126707
2007000223,2007,KEN,cow,C,EU574053
VRL1290/78,1978,ZWE,cow,C,MG659816
Saudi 2000-10911,2000,SAU,human,C,DQ380197
KEN/Gar-008/06,2006,KEN,human,C,HM586965
2007002476,2007,KEN,cow,C,EU574036
201601292,2016,UGA,human,C,MG953419
M84/08,2008,ZAF,cow,C,KX944847
KEN/Mal-032/07,2007,KEN,human,C,HM586967
2007001811,2006,KEN,caprine,C,EU574040
200803162,2008,MDG,human,C,JF311377
2007000618,2007,KEN,cow,C,EU574042
M37/08,2008,ZAF,buffalo,C,KX944840
2007002820,2007,KEN,buffalo,C,JF309200
SA01-1322,2001,SAU,mosquito,C,KX096942
SPU86/09,2009,ZAF,cow,C,KY126708
Sudan 2V-2007,2007,SDN,human,C,JQ820490
Sudan 86-2010,2010,SDN,human,C,JQ820489
2007001443,2007,KEN,cow,C,EU574045
M47/08,2008,ZAF,cow,C,KX944842
2007002060,2007,KEN,cow,C,EU574039
M80/08/2,2008,ZAF,cow,C,KX944846
2007001809,2006,KEN,caprine,C,EU574041
Kenya 83 (21445),1983,KEN,mosquito,C,DQ380198
DVS-321,2021,KEN,cow,C,OM744366
KEN/KLF-Msq/091/07,2007,KEN,mosquito,C,HM586973
201707023,2017,UGA,human,C,MG972976
TAN/Dod-002/07,2007,TZA,human,C,HM586971
2007001602,2007,KEN,cow,C,EU574043
KEN/Bar-035/07,2007,KEN,human,C,HM586969
2007000611,2007,KEN,cow,C,EU574048
DVS-333,2021,KEN,cow,C,OM744367
KEN/Bar-Msq/187-09/07,2007,KEN,mosquito,C,HM586974
201707024,2017,UGA,human,C,MG972973
2007001292,2007,KEN,cow,C,EU574046
M66/09,2009,ZAF,cow,C,KX944845
M39/08,2008,ZAF,buffalo,C,KX944841
2007001564,2007,KEN,cow,C,EU574044
Sudan 85-2010,2010,SDN,human,C,JQ820488
M48/08,2008,MDG,cow,C,KX944843
Kenya-128b-15,2006,KEN,mosquito,C,KX096939
Sudan 28-2010,2010,SDN,human,C,JQ820491
KEN/Bar-032/07,2007,KEN,human,C,HM586968
KEN06-ELH131B08,2006,KEN,mosquito,C,EF467178
M48/08,2008,MDG,cow,C,HQ009512
2007001107,2007,KEN,cow,C,EU574047
J40/6,2008,ZAF,buffalo,C,KY126705
200803168,2008,MDG,cow,C,JF311383
KEN07-KUR340,2007,KEN,mosquito,C,EF460404
TAN/Tan-001/07,2007,TZA,human,C,HM586970
2007000224,2007,KEN,cow,C,EU574052
Kenya 9800523,1998,KEN,human,C,DQ380196
SPU142/08,2008,ZAF,cow,C,KY126706
2008/00099,2008,MYT,human,C,HE687303
SPU77/08,2008,ZAF,buffalo,C,KY126704
DVS-356,2021,KEN,cow,C,OM744368
2007000222,2007,KEN,cow,C,EU574054
M85/08,2008,ZAF,cow,C,KX944848
2007004194,2007,KEN,cow,C,EU574031
VRL1217/78,1978,ZWE,sheep,C,MG659815
2007000323,2007,TZA,human,C,JF326194
2007000473,2007,KEN,sheep,C,EU574050
KEN/Kil-006/07,2007,KEN,human,C,HM586966
200803166,1991,MDG,human,C,JF311381
200803170,2008,MDG,cow,C,JF311385
2007002482,2007,KEN,cow,C,EU574035
KEN07-KLF112,2007,KEN,mosquito,C,EF467177
200803163,2008,MDG,human,C,JF311378
2007000608,2007,KEN,cow,C,EU574049
201601287,2016,UGA,human,C,MG953418
2007003644,2007,KEN,sheep,C,EU574033
2007000080,2007,KEN,cow,C,EU574056
2007000225,2007,KEN,cow,C,EU574051
KEN/Gar-004/06,2006,KEN,human,C,HM586964
2007000253,2006,KEN,mosquito,C,JF326192
2007002445,2007,KEN,cow,C,EU574037
Sudan 7-2010,2010,SDN,human,C,JQ820487
73HB1230,1973,CAF,human,D,DQ380221
74HB59,1974,CAF,human,E,DQ380212
1260/78,1978,ZWE,cow,E,DQ380214
73HB1449,1973,CAF,human,E,DQ380211
56/74_4255,1974,ZAF,cow,F,OM744401
Ar20364,1981,ZAF,mosquito,F,KY126713
Zinga,1969,CAF,mosquito,G,DQ380217
1853/78,1978,ZWE,cow,G,DQ380220
ArB1986,1969,CAF,mosquito,G,KJ782456
Hv-B375,1985,CAF,human,G,DQ380218
CAR-R1622,1985,CAF,human,G,DQ380219
ANK-3837,1981,GIN,bat,G,DQ380215
HB1752,1985,CAF,human,G,KJ782453
SPU77/04,2004,NAM,human,G,KY126703
ANK-6087,1984,GIN,bat,G,DQ380216
SA579/11,2011,NAM,human,H,MG659811
SA129/10,2010,ZAF,human,H,KY126691
SA414/10,2010,ZAF,human,H,MG659768
Namibia_2010,2010,NAM,sheep,H,MT561460
SA1095/10,2010,ZAF,human,H,MG659791
SA1282/10,2010,ZAF,human,H,MG659796
SA665/10,2010,ZAF,human,H,MG659782
SH327052,2020,SEN,human,H,MZ513009
M259/09,2009,ZAF,cow,H,KX944836
SA257/10,2010,ZAF,human,H,MG659759
SA295/11,2011,ZAF,human,H,MG659805
SA482/10,2010,ZAF,human,H,MG659772
SPU404/09,2009,ZAF,human,H,KY126709
SA71/10,2010,ZAF,human,H,MG659737
272655,2015,MRT,human,H,KY366332
SA1601/10,2010,ZAF,human,H,MG659802
SA394/10,2010,ZAF,human,H,MG659766
SA225/10,2010,ZAF,human,H,MG659756
M247/09,2009,ZAF,sheep,H,KX944834
M29/10,2010,ZAF,cow,H,KX944838
SA1224/10,2010,ZAF,human,H,MG659795
SPU105/10,2010,ZAF,human,H,KY126690
SA93/10,2010,ZAF,human,H,MG659742
SPU162/10,2010,ZAF,human,H,KY126692
SA67/11,2011,ZAF,human,H,MG659804
SA484/10,2010,ZAF,human,H,MG659773
SA1329/10,2010,ZAF,human,H,MG659797
SA76/10,2010,ZAF,human,H,MG659738
SPU68/10,2010,ZAF,human,H,MG659736
SA85/10,2010,ZAF,human,H,MG659740
SA472/10,2010,ZAF,human,H,MG659771
SA1143/10,2010,ZAF,human,H,MG659793
SA1457/10,2010,ZAF,human,H,MG659800
SPU59/10,2010,ZAF,human,H,MG659734
SA226/10,2010,ZAF,human,H,MG659757
SA635/10,2010,ZAF,human,H,MG659780
SA165/10,2010,ZAF,human,H,MG659753
M12/10,2010,ZAF,sheep,H,KX944827
272660,2015,MRT,human,H,KY366329
SA591/10,2010,ZAF,human,H,MG659777
SH328056,2020,SEN,human,H,MZ513010
SA275/10,2010,ZAF,human,H,KY126694
SA110/10,2010,ZAF,human,H,MG659748
SA573/10,2010,ZAF,human,H,KY126696
SA1405/10,2010,ZAF,human,H,MG659799
SA535/10,2010,ZAF,human,H,MG659775
SA1081/10,2010,ZAF,human,H,MG659788
SA342/11,2011,ZAF,human,H,MG659808
SA128/10,2010,ZAF,human,H,MG659751
SA320/11,2011,ZAF,human,H,MG659806
SA1171/10,2010,ZAF,human,H,MG659794
SA344/10,2010,ZAF,human,H,MG659764
SA420/10,2010,ZAF,human,H,MG659769
SA918/10,2010,ZAF,human,H,MG659786
SA220/10,2010,ZAF,human,H,MG659755
SA1222/10,2010,ZAF,human,H,KY126699
SA746/10,2010,ZAF,human,H,MG659784
SA106/10,2010,ZAF,human,H,MG659747
M21/10,2010,ZAF,sheep,H,KX944833
SPU97/10,2010,ZAF,human,H,MG659744
SA633/10,2010,ZAF,human,H,MG659779
SA336/10,2010,ZAF,human,H,MG659763
SA424/10,2010,ZAF,human,H,MG659770
SA494/11,2011,ZAF,human,H,KY126702
SA317/10,2010,ZAF,human,H,MG659761
M16/10,2010,ZAF,sheep,H,KX944829
SPU100/10,2010,ZAF,human,H,MG659745
SA632/10,2010,ZAF,human,H,MG659778
M19/10,2010,ZAF,sheep,H,KX944830
SA770/10,2010,ZAF,human,H,MG659785
SA705/10,2010,ZAF,human,H,MG659783
M260/09,2009,ZAF,cow,H,KX944837
SA359/11,2011,ZAF,human,H,MG659809
SA395/10,2010,ZAF,human,H,MG659767
M25/10,2010,ZAF,sheep,H,KX944835
SA377/10,2010,ZAF,human,H,MG659765
SA1061/10,2010,ZAF,human,H,MG659787
SA1372/10,2010,ZAF,human,H,MG659798
SA95/10,2010,ZAF,human,H,MG659743
SA79/10,2010,ZAF,human,H,MG659739
SA287/10,2010,ZAF,human,H,MG659760
SA638/10,2010,ZAF,human,H,MG659781
SPU86/10,2010,ZAF,human,H,MG659741
M127/09,2009,ZAF,cow,H,KX944828
SA250/10,2010,ZAF,human,H,MG659758
M06/10,2010,ZAF,cow,H,KX944826
SA354/11,2011,ZAF,human,H,KY126701
SA1797/10,2010,ZAF,human,H,MG659803
SA206/10,2010,ZAF,human,H,MG659754
SA389/11,2011,ZAF,human,H,MG659810
SA62/10,2010,ZAF,human,H,MG659735
SA509/10,2010,ZAF,human,H,MG659774
SA1092/10,2010,ZAF,human,H,MG659789
SA982/10,2010,ZAF,human,H,KY126697
SA122/10,2010,ZAF,human,H,MG659749
SA322/10,2010,ZAF,human,H,MG659762
SPU126/10,2010,ZAF,human,H,MG659750
SA1796/10,2010,ZAF,human,H,KY126700
M33/10,2010,ZAF,sheep,H,KX944839
SA135/10,2010,ZAF,human,H,MG659752
SA1167/10,2010,ZAF,human,H,MG659790
SA1094/10,2010,ZAF,human,H,KY126698
