isolate,year,country,host,lineage,accession
ZC-3349,1978,EGY,cow,A,DQ380152
ZH-548,1977,EGY,human,A,DQ380151
ZH-548,1977,EGY,human,A,NC_014395
ZS-6365,1979,EGY,sheep,A,DQ380145
T-46 (228113),1977,EGY,mosquito,A,DQ380147
ZH-501,1977,EGY,human,A,DQ380149
2250/74,1974,ZWE,cow,A,DQ380143
MgH824,1979,MDG,human,A,DQ380144
ZH-1776,1978,EGY,human,A,DQ380153
ZM-657,1978,EGY,mosquito,A,DQ380146
T1,1977,EGY,mosquito,A,DQ380150
S35,1972,KEN,sheep,B,MG659985
Kenya-128b-15,2006,KEN,mosquito,C,KX096940
2007000224,2007,KEN,cow,C,EU574083
TAN/Tan-001/07,2007,TZA,human,C,HM586981
200803168,2008,MDG,cow,C,JF311392
J40/6,2008,ZAF,buffalo,C,KY196502
2007001107,2007,KEN,cow,C,EU574075
KEN/Bar-032/07,2007,KEN,human,C,HM586979
Sudan 28-2010,2010,SDN,human,C,JQ820474
M48/08,2008,MDG,cow,C,KX944820
2007001292,2007,KEN,cow,C,EU574074
Sudan 85-2010,2010,SDN,human,C,JQ820476
2007001564,2007,KEN,cow,C,EU574072
M39/08,2008,ZAF,buffalo,C,KX944818
M66/09,2009,ZAF,cow,C,KX944822
Kenya 9800523,1998,KEN,human,C,DQ380169
201707024,2017,UGA,human,C,MG972974
DVS-333,2021,KEN,cow,C,OM744372
2007000611,2007,KEN,cow,C,EU574078
KEN/Bar-035/07,2007,KEN,human,C,HM586980
M48/08,2008,MDG,cow,C,KX944820
SPU142/08,2008,ZAF,cow,C,KY196503
VRL1217/78,1978,ZWE,sheep,C,MG659987
SPU77/08,2008,ZAF,buffalo,C,KY196501
Sudan 7-2010,2010,SDN,human,C,JQ820480
2007002445,2007,KEN,cow,C,EU574064
2007000253,2006,KEN,mosquito,C,JF326201
KEN/Gar-004/06,2006,KEN,human,C,HM586975
2007000225,2007,KEN,cow,C,EU574082
2007000080,2007,KEN,cow,C,EU574087
2007003644,2007,KEN,sheep,C,EU574059
201601287,2016,UGA,human,C,MG953424
2007000608,2007,KEN,cow,C,EU574079
2008/00099,2008,MYT,human,C,HE687302
200803163,2008,MDG,human,C,JF311387
200803170,2008,MDG,cow,C,JF311394
200803166,1991,MDG,human,C,JF311390
KEN/Kil-006/07,2007,KEN,human,C,HM586977
2007000473,2007,KEN,sheep,C,EU574080
2007000323,2007,TZA,human,C,JF326203
2007001602,2007,KEN,cow,C,EU574071
2007004194,2007,KEN,cow,C,EU574057
2007000222,2007,KEN,cow,C,EU574085
DVS-356,2021,KEN,cow,C,OM744373
2007002482,2007,KEN,cow,C,EU574062
TAN/Dod-002/07,2007,TZA,human,C,HM586982
M85/08,2008,ZAF,cow,C,KX944825
DVS-321,2021,KEN,cow,C,OM744371
SPU152/08,2008,ZAF,human,C,KY196504
2007000260,2006,KEN,mosquito,C,JF326202
200803167,1991,MDG,cow,C,JF311391
2007002444,2007,KEN,cow,C,EU574065
200803165,2008,MDG,human,C,JF311389
201601502,2016,UGA,human,C,MG953426
2007000234,2007,KEN,human,C,JF326198
2007003081,2007,KEN,cow,C,EU574060
2007000324,2007,TZA,human,C,JF326204
201707025,2017,UGA,human,C,MG972980
Namibia_2011,2011,NAM,springbok,C,MT561462
SPU52/99/1,1999,ZAF,buffalo,C,KY196511
DVS-230,2021,KEN,cow,C,OM744370
2008/00101,2008,MYT,human,C,HE687307
VRL2051/76,1976,ZWE,human,C,MG659986
DVS-372,2021,KEN,cow,C,OM744374
2007000094,2007,KEN,cow,C,EU574086
200803164,2008,MDG,human,C,JF311388
200803169,2008,MDG,cow,C,JF311393
2007000223,2007,KEN,cow,C,EU574084
VRL1290/78,1978,ZWE,cow,C,MG659988
2007004193,2007,KEN,cow,C,EU574058
KEN/Gar-008/06,2006,KEN,human,C,HM586976
Kenya 83 (21445),1983,KEN,mosquito,C,DQ380171
2007001809,2006,KEN,caprine,C,EU574069
M80/08/2,2008,ZAF,cow,C,KX944823
2007002060,2007,KEN,cow,C,EU574066
M47/08,2008,ZAF,cow,C,KX944819
2007001443,2007,KEN,cow,C,EU574073
Saudi 2000-10911,2000,SAU,human,C,DQ380170
Sudan 2V-2007,2007,SDN,human,C,JQ820472
SPU86/09,2009,ZAF,cow,C,KY196505
SA01-1322,2001,SAU,mosquito,C,KX096943
Sudan 86-2010,2010,SDN,human,C,JQ820477
M37/08,2008,ZAF,buffalo,C,KX944817
2007002820,2007,KEN,buffalo,C,EU574061
201601292,2016,UGA,human,C,MG953425
M84/08,2008,ZAF,cow,C,KX944824
2007002476,2007,KEN,cow,C,EU574063
2007001811,2006,KEN,caprine,C,EU574068
200803162,2008,MDG,human,C,JF311386
2007000618,2007,KEN,cow,C,EU574077
KEN/Mal-032/07,2007,KEN,human,C,HM586978
201707023,2017,UGA,human,C,MG972977
73HB1230,1973,CAF,human,D,DQ380172
74HB59,1974,CAF,human,E,DQ380163
1260/78,1978,ZWE,cow,E,DQ380164
73HB1449,1973,CAF,human,E,DQ380162
56/74_4255,1974,ZAF,cow,F,OM744402
Ar20364,1981,ZAF,mosquito,F,KY196510
