isolate,year,country,host,lineage,accession
ZC-3349,1978,EGY,cow,A,DQ375412
ZH-501,1977,EGY,human,A,DQ375406
ZH-548,1977,EGY,human,A,NC_014397
ZS-6365,1979,EGY,sheep,A,DQ375410
272659,2015,MRT,human,A,KY366327
T-46 (228113),1977,EGY,mosquito,A,DQ375405
ZH-548,1977,EGY,human,A,DQ375403
2250/74,1974,ZWE,cow,A,DQ375413
MgH824,1979,MDG,human,A,DQ375414
ZH-1776,1978,EGY,human,A,DQ375411
ZM-657,1978,EGY,mosquito,A,DQ375409
T1,1977,EGY,mosquito,A,DQ375407
S35,1972,KEN,sheep,B,MG659899
Kenya-128b-15,2006,KEN,mosquito,C,KX096938
2007000224,2007,KEN,cow,C,EU574026
TAN/Tan-001/07,2007,TZA,human,C,HM586959
200803168,2008,MDG,cow,C,JF311374
J40/6,2008,ZAF,buffalo,C,KY126680
2007001107,2007,KEN,cow,C,EU574020
KEN/Bar-032/07,2007,KEN,human,C,HM586957
Sudan 28-2010,2010,SDN,human,C,JQ820486
M48/08,2008,MDG,cow,C,KX944866
201707024,2017,UGA,human,C,MG972972
Sudan 85-2010,2010,SDN,human,C,JQ820485
2007001564,2007,KEN,cow,C,EU574017
M39/08,2008,ZAF,buffalo,C,KX944864
M66/09,2009,ZAF,cow,C,KX944868
2007001292,2007,KEN,cow,C,EU574019
Kenya 9800523,1998,KEN,human,C,DQ375400
DVS-333,2021,KEN,cow,C,OM744377
2007000611,2007,KEN,cow,C,EU574022
KEN/Bar-035/07,2007,KEN,human,C,HM586958
M48/08,2008,MDG,cow,C,KX944866
SPU142/08,2008,ZAF,cow,C,KY126681
VRL1217/78,1978,ZWE,sheep,C,MG659901
SPU77/08,2008,ZAF,buffalo,C,KY126679
2007002445,2007,KEN,cow,C,EU574011
2007000253,2006,KEN,mosquito,C,JF326187
KEN/Gar-004/06,2006,KEN,human,C,HM586953
2007000225,2007,KEN,cow,C,EU574025
2007000080,2007,KEN,cow,C,EU574030
2007003644,2007,KEN,sheep,C,EU574006
201601287,2016,UGA,human,C,MG953423
2007000608,2007,KEN,cow,C,EU574023
200803163,2008,MDG,human,C,JF311369
2007002482,2007,KEN,cow,C,EU574009
200803170,2008,MDG,cow,C,JF311376
200803166,1991,MDG,human,C,JF311372
KEN/Kil-006/07,2007,KEN,human,C,HM586955
2007000473,2007,KEN,sheep,C,EU574024
2007000323,2007,TZA,human,C,JF326189
2007001602,2007,KEN,cow,C,EU574016
2007004194,2007,KEN,cow,C,EU574004
2007000222,2007,KEN,cow,C,EU574028
DVS-356,2021,KEN,cow,C,OM744378
2008/00099,2008,MYT,human,C,HE687304
TAN/Dod-002/07,2007,TZA,human,C,HM586960
M85/08,2008,ZAF,cow,C,KX944871
DVS-321,2021,KEN,cow,C,OM744376
2007004193,2007,KEN,cow,C,EU574005
201707023,2017,UGA,human,C,MG972975
200803167,1991,MDG,cow,C,JF311373
2007002444,2007,KEN,cow,C,EU574012
200803165,2008,MDG,human,C,JF311371
201601502,2016,UGA,human,C,MG953421
2007000234,2007,KEN,human,C,JF326186
